NO;KODE BARANG;NAMA BARANG;SATUAN;SALDO AWAL;HARGA;TOTAL
38b25f1f-7fc9-11e6-aed5-000476f4fa98;2.7.3;  Pakan Unggas   Pakan broiler  starter II;kg;;;
38b26915-7fc9-11e6-aed5-000476f4fa98;2.7.4;  Pakan Unggas   Pakan broiler finisher;kg;;;
38b272ff-7fc9-11e6-aed5-000476f4fa98;2.7.5;  Pakan Unggas   Konsentrat ayam petelur / grower;kg;;;
38b27d07-7fc9-11e6-aed5-000476f4fa98;2.7.6;  Pakan Unggas   Konsentrat ayam petelur / layer;kg;;;
38b28728-7fc9-11e6-aed5-000476f4fa98;2.7.7;  Pakan Unggas   Konsentrat ayam pedaging / broiler;kg;;;
38b2910c-7fc9-11e6-aed5-000476f4fa98;2.7.8;    Pakan Sapi Konsentrat;kg;;;
38b29af1-7fc9-11e6-aed5-000476f4fa98;2.7.9;    Bahan pakan Ternak Jagung Pipil;kg;;;
38b2a68b-7fc9-11e6-aed5-000476f4fa98;2.7.10;Bahan pakan Ternak Dedak / bekatul;kg;;;
38b2b08d-7fc9-11e6-aed5-000476f4fa98;2.7.11; Pakan Ikan No. 581;kg;;;
38b2ba6c-7fc9-11e6-aed5-000476f4fa98;2.7.12; Pakan Ikan No. 788;kg;;;
38b2c459-7fc9-11e6-aed5-000476f4fa98;2.7.13; Pakan Ikan No. 789;kg;;;
38b2ce43-7fc9-11e6-aed5-000476f4fa98;2.7.14; Pakan Ikan No. 999;kg;;;
38b2d855-7fc9-11e6-aed5-000476f4fa98;2.7.15; Pakan Ikan No. 781  - 2;kg;;;
38b2e259-7fc9-11e6-aed5-000476f4fa98;2.7.16; Pakan Ikan No. 781  - 3;kg;;;
38b2ee0a-7fc9-11e6-aed5-000476f4fa98;2.7.17; Pakan Ikan No. 782;kg;;;
38b2f8e3-7fc9-11e6-aed5-000476f4fa98;2.7.18; Pakan Ikan Lele LA3, Apung No. 853.03;kg;;;
38b30303-7fc9-11e6-aed5-000476f4fa98;2.7.19; Pakan Ikan Lele LA4, Apung No. 853.04;kg;;;
38b30d23-7fc9-11e6-aed5-000476f4fa98;2.7.20; Pakan Ikan Lele LA7  - K, Apung No. 853.07;kg;;;
38b31724-7fc9-11e6-aed5-000476f4fa98;2.7.21; Pakan Ikan Bandeng 13  - 3, No. 805.03;kg;;;
38b32163-7fc9-11e6-aed5-000476f4fa98;2.7.22; Pakan Ikan Bandeng 13  - 5, No. 805.05;kg;;;
38b32ba0-7fc9-11e6-aed5-000476f4fa98;2.7.23; Pakan Ikan Bandeng BA  - 3,No. 805.03;kg;;;
38b335b6-7fc9-11e6-aed5-000476f4fa98;2.7.24; Pakan Ikan Bandeng BA  - 4,No. 855.04;kg;;;
38b340de-7fc9-11e6-aed5-000476f4fa98;2.7.25; Pakan Ikan Bandeng BA  - 6,No. 855.06;kg;;;
38b34b1c-7fc9-11e6-aed5-000476f4fa98;2.7.26; Pakan Ikan Mas, MG 1,No. 806.01;kg;;;
38b35540-7fc9-11e6-aed5-000476f4fa98;2.7.27;Pakan Ikan Mas, MG 2,No. 806.02;kg;;;
38b35f72-7fc9-11e6-aed5-000476f4fa98;2.7.28;Pakan Ikan Mas, MG 1,No. 806.11;kg;;;
38b36b98-7fc9-11e6-aed5-000476f4fa98;2.7.29;Pakan Ikan Mas, MG 2,No. 806.22;kg;;;
38b37478-7fc9-11e6-aed5-000476f4fa98;2.7.30;  Pakan Ikan Patin, PTN 2, No.807.02;kg;;;
38b37e24-7fc9-11e6-aed5-000476f4fa98;2.7.31;Pakan Ikan Gurami GA 3, Apung No. 858.03;kg;;;
38b386eb-7fc9-11e6-aed5-000476f4fa98;2.7.32;Pakan Ikan Gurami GA 4, Apung No. 858.04;kg;;;
38b38fb6-7fc9-11e6-aed5-000476f4fa98;2.7.33;Pakan Ikan Nila, NS 1, tenggelam ;kg;;;
38b3986f-7fc9-11e6-aed5-000476f4fa98;2.7.34;Pakan Ikan Nila, NS 2 ;kg;;;
38b3a11f-7fc9-11e6-aed5-000476f4fa98;2.7.35;Pakan Ikan Nila, NS 4;kg;;;
38b3a9df-7fc9-11e6-aed5-000476f4fa98;2.7.36;Pakan Ikan Nila, NB;kg;;;
38b3b295-7fc9-11e6-aed5-000476f4fa98;2.7.37;Pakan Ikan Nila, NG 10;kg;;;
38b3bb55-7fc9-11e6-aed5-000476f4fa98;2.7.38;Pakan Ikan Katak Lembu;kg;;;
38b3c420-7fc9-11e6-aed5-000476f4fa98;2.7.39;Pakan Ikan Ikan Hias;kg;;;
38b3cd01-7fc9-11e6-aed5-000476f4fa98;2.7.40;Pakan Ikan Ikan Bawal;kg;;;
38b3d67c-7fc9-11e6-aed5-000476f4fa98;2.7.41;Pakan Ikan Nila Gift / Nila Merah;kg;;;
38b3e0c0-7fc9-11e6-aed5-000476f4fa98;2.7.42;Pakan Ikan Udang;kg;;;
38b3e9c9-7fc9-11e6-aed5-000476f4fa98;2.7.43;Pakan Ikan Gaun;kg;;;
38b3f2c7-7fc9-11e6-aed5-000476f4fa98;2.7.44;Pakan Ikan Tawes;kg;;;
38b3fc74-7fc9-11e6-aed5-000476f4fa98;2.7.45;Pakan Ikan Pengesius;kg;;;
38b40539-7fc9-11e6-aed5-000476f4fa98;2.7.46;Pakan Ikan Betutu;kg;;;
38b40e0c-7fc9-11e6-aed5-000476f4fa98;2.7.47;pakan ikan;kg;;;
38b416f5-7fc9-11e6-aed5-000476f4fa98;2.7.48;pakan ikan no  pF 500;kg;;;
38b41fe9-7fc9-11e6-aed5-000476f4fa98;2.7.49;pakan ikan no  pF 800;kg;;;
38b428e2-7fc9-11e6-aed5-000476f4fa98;2.7.50;pakan ikan no  pF 1000;kg;;;
38b431c4-7fc9-11e6-aed5-000476f4fa98;2.7.51;pakan ikan no  pF 503;kg;;;
45f15d9b-7fc9-11e6-aed5-000476f4fa98;2.8.1;Spanduk Kain;m2;;;
5094634f-7fc9-11e6-aed5-000476f4fa98;2.9.1;Alat laboratorium Petri dish 9 cm;buah;;;
50947224-7fc9-11e6-aed5-000476f4fa98;2.9.2;Alat laboratorium Petri dish 8,5 cm;buah;;;
50947bf7-7fc9-11e6-aed5-000476f4fa98;2.9.3;Alat laboratorium Tabung reaksi kecil 1 cm , T 10 cm;box/100;;;
509486d3-7fc9-11e6-aed5-000476f4fa98;2.9.4;Alat laboratorium Tabung reaksi kecil 1 cm , T 15 cm;box/100;;;
50949071-7fc9-11e6-aed5-000476f4fa98;2.9.5;Alat laboratorium Pinset;buah;;;
509499ab-7fc9-11e6-aed5-000476f4fa98;2.9.6;Alat laboratorium Sendok sangu;buah;;;
5094a2ea-7fc9-11e6-aed5-000476f4fa98;2.9.7;Alat laboratorium Pembakar spritus;buah;;;
5094ac1d-7fc9-11e6-aed5-000476f4fa98;2.9.8;Alat laboratorium Torniquit;buah;;;
5094b565-7fc9-11e6-aed5-000476f4fa98;2.9.9;Alat laboratorium Termometer air;buah;;;
5094beac-7fc9-11e6-aed5-000476f4fa98;2.9.10;Alat laboratorium Timer;buah;;;
5094c837-7fc9-11e6-aed5-000476f4fa98;2.9.11;Alat laboratorium Kuvet Nova/rectangular cell test 10 mm;set;;;
5094d199-7fc9-11e6-aed5-000476f4fa98;2.9.12;Alat laboratorium Kuvet spektro tomos;set;;;
5094db0a-7fc9-11e6-aed5-000476f4fa98;2.9.13;Alat laboratorium Tabung reaksitutup ulir;buah;;;
5094e482-7fc9-11e6-aed5-000476f4fa98;2.9.14;Alat laboratorium Centrifuge tube;box/100;;;
5094eea8-7fc9-11e6-aed5-000476f4fa98;2.9.15; Alat laboratorium Buret coklat 25 ml;buah;;;
5094f8db-7fc9-11e6-aed5-000476f4fa98;2.9.16;Alat laboratorium  Buret putih 25 ml;buah;;;
50950239-7fc9-11e6-aed5-000476f4fa98;2.9.17; Alat laboratorium Buret otomatis 25 ml;buah;;;
50950b7b-7fc9-11e6-aed5-000476f4fa98;2.9.18;Alat laboratorium  Mortir;buah;;;
509514ce-7fc9-11e6-aed5-000476f4fa98;2.9.19;Alat laboratorium  Statis buret;buah;;;
50951f23-7fc9-11e6-aed5-000476f4fa98;2.9.20;Alat laboratorium  Clem buret;buah;;;
509528f0-7fc9-11e6-aed5-000476f4fa98;2.9.21; Alat laboratorium Tungkrus;buah;;;
5095326c-7fc9-11e6-aed5-000476f4fa98;2.9.22;Alat laboratorium  Rak tabung reaksi;buah;;;
50953be0-7fc9-11e6-aed5-000476f4fa98;2.9.23;Alat laboratorium  Rak pengecatan;buah;;;
50954544-7fc9-11e6-aed5-000476f4fa98;2.9.24;Alat laboratorium  Ohse;buah;;;
50954eb4-7fc9-11e6-aed5-000476f4fa98;2.9.25; Alat laboratorium Haemometer;buah;;;
50955833-7fc9-11e6-aed5-000476f4fa98;2.9.26;Alat laboratorium  Haemocitometer;buah;;;
509561c6-7fc9-11e6-aed5-000476f4fa98;2.9.27;Alat laboratorium  pembakar spiritus;buah;;;
